Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Alias_162,WOCOMPANY_052,SDPLDEAL-078,Proof of Concept,,Completed,,06-06-2025,Email Confirmation,13-06-2025,13-06-2025,OWNER_003,Mining,Volumetric survey,NONE,,,0,0,,0,,0,0,0,,,NA,,,,,,,,,,Not Billable
Trunks,WOCOMPANY_015,SDPLDEAL-079,Proof of Concept,,Completed,,01-07-2025,Email Confirmation,23-04-2025,23-04-2025,OWNER_003,Railways,Road/rail survey,NONE,,,554940,654829.2,,0,,554940,654829.2,0,,,NA,,,,,,,,,,Not Billable
Tuxedo Mask,WOCOMPANY_052,SDPLDEAL-080,Annual Rate Contract,Dec,Executed until current month,,01-04-2025,Purchase Order,01-04-2025,31-03-2028,OWNER_003,Mining,"Topography Survey: RGB, Volumetric survey",NONE,03-07-2025,SDPL/FY25-26/118,2959680,3492422.4,493282.4664,582073.3104,,2466397.534,2910349.09,582073.3104,Priority,,36 AU,3,33,Billed- Visit 3,,,,Open,,,
Timon,WOCOMPANY_046,SDPLDEAL-081,Proof of Concept,,Completed,,27-06-2025,Purchase Order,01-07-2025,17-08-2025,OWNER_001,Renewables,"Topography Survey: RGB, Raw images/videography",SPECTRA,03-11-2025,,277470,327414.6,277470,327414.6,,0,0,327414.6,,,45days,,45,Fully Billed,,Dec,,Closed,,,
Timon,WOCOMPANY_046,SDPLDEAL-082,Proof of Concept,,Pause / struck,,19-06-2025,Purchase Order,01-07-2025,17-08-2025,OWNER_001,Renewables,"Topography Survey: RGB, Raw images/videography, Others",SPECTRA,03-11-2025,,277470,327414.6,277470,327414.6,,0,0,327414.6,,,45 days,,45,Fully Billed,,,,Closed,,,
Subaru,WOCOMPANY_019,SDPLDEAL-083,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,25-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,02-07-2025,SDPL/FY25-26/114,143051.2,168800.416,130176.592,153608.3786,26035.3184,12874.608,15192.03744,127573.0602,,726.976,800,,800,Fully Billed,,July,,Closed,,,
Tuxedo Mask,WOCOMPANY_041,SDPLDEAL-084,One time Project,,Completed,,21-06-2025,Purchase Order,01-07-2025,10-07-2025,OWNER_003,Renewables,Others,NONE,04-07-2025,SDPL/FY25-26/120,215810,254655.8,215810,254655.8,,0,0,254655.8,Priority,,1,1,0,Fully Billed,,,,Closed,,,
Luffy,WOCOMPANY_032,SDPLDEAL-085,One time Project,,Completed,,21-06-2025,LOA/LOI,01-06-2025,30-06-2025,OWNER_003,Renewables,Thermography,NONE,,,#VALUE!,0,,0,,0,0,0,,,1,,1,,,,,Open,,,Update Required
Alias_162,WOCOMPANY_052,SDPLDEAL-086,Annual Rate Contract,,Completed,,22-07-2024,Purchase Order,30-07-2024,30-07-2025,OWNER_001,Mining,Volumetric survey,NONE,,,710616.2083,838527.1258,710616.2083,838527.1258,767463.522,0,0,71063.60382,Priority,,8 units,,8,Fully Billed,,,,Closed,,,
Alias_162,WOCOMPANY_052,SDPLDEAL-087,Annual Rate Contract,Dec,Executed until current month,,08-08-2025,Purchase Order,01-04-2025,31-03-2026,OWNER_001,Mining,Volumetric survey,NONE,09-12-2025,SDPL/FY25-26/572,1065928.752,1257795.927,838526.672,989461.473,618232.7568,227402.08,268334.4544,371228.7162,,,12 months,,12,Fully Billed,,,,,,,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-088,One time Project,,Completed,,26-04-2025,Purchase Order,28-04-2025,15-08-2025,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,03-09-2025,SDPL/FY25-26/419,154150,181897,154150,181897,166482,0,0,15415,,,200 Acres,,200,Fully Billed,,September,,Closed,,,
Obito,WOCOMPANY_023,SDPLDEAL-089,Annual Rate Contract,,Completed,,09-07-2025,LOA/LOI,21-06-2025,20-06-2026,OWNER_003,Mining,Others,NONE,,,0,0,,0,,0,0,0,,,1,,1,,,,,,,,Not Billable
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-090,One time Project,,Completed,,15-04-2025,Purchase Order,12-05-2025,20-06-2025,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,06-08-2025,SDPL/FY25-26/387,223971.3176,264286.1548,223971.3176,264286.1548,264287.092,0,0,-0.937232,,609.44,660.43HA,660.43,0,Fully Billed,,August,,Closed,,,
Rafiki,WOCOMPANY_048,SDPLDEAL-091,Proof of Concept,,Completed,,08-07-2025,Email Confirmation,11-06-2025,19-06-2025,OWNER_003,Mining,Thermography,NONE,,,0,0,,0,,0,0,0,,,3 Rooftops,,3,,,,,,,,Not Billable
Alias_160,WOCOMPANY_051,SDPLDEAL-092,One time Project,,Completed,,10-04-2025,Purchase Order,01-05-2025,25-06-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,06-08-2025,SDPL/FY25-26/390,357628,422001.04,321686.386,379589.9355,347420.6186,35941.614,42411.10452,32169.31686,,2173.17,2000,,2000,Fully Billed,,August,,Closed,,,
Obito,WOCOMPANY_023,SDPLDEAL-093,One time Project,,Completed,,15-07-2025,LOA/LOI,21-07-2025,25-07-2025,OWNER_003,Mining,Others,NONE,,,76458.4,90220.912,,0,,76458.4,90220.912,0,,,1,,1,,,,,,,,Update Required
GG go,WOCOMPANY_035,SDPLDEAL-094,One time Project,,Completed,,10-07-2025,Purchase Order,15-07-2025,31-07-2025,OWNER_003,Renewables,Hydrology,NONE,,,749785.6,884747.008,,0,,749785.6,884747.008,0,,,1415 Acres,,1415,,,,,,,,Update Required
Subaru,WOCOMPANY_019,SDPLDEAL-095,One time Project,,Completed,,17-07-2025,Purchase Order,01-05-2025,30-05-2025,OWNER_001,Mining,Topography Survey: RGB,NONE,28-07-2025,SDPL/FY25-26/373,155665.6028,183685.4113,155665.6028,183685.4113,3115.0632,0,0,180570.3481,,813.635,870.45 HA,,870.45,Fully Billed,,July,,Closed,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-096,One time Project,,Completed,,16-07-2025,Purchase Order,14-07-2025,28-07-2025,OWNER_001,Renewables,Topography Survey: RGB,NONE,20-08-2025,SDPL/FY25-26/413,986560,1164140.8,986560,1164140.8,,0,0,1164140.8,,,4 Sites,,4,Fully Billed,,September,,Closed,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-097,One time Project,,Completed,,10-04-2025,,01-05-2025,31-05-2025,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,25-07-2025,SDPL/FY25-26/370,84190.564,99344.86552,79060.452,93291.33336,85383.90698,5130.112,6053.53216,7907.426384,,442.14,446 HA,,446,Fully Billed,,July,,Closed,,,
Erwin,WOCOMPANY_021,SDPLDEAL-098,One time Project,,Completed,,22-05-2025,Purchase Order,26-05-2025,25-06-2025,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,20-08-2025,SDPL/FY25-26/405,319811.922,377378.068,319811.922,377378.068,,0,0,377378.068,,,960.5 HA,,960.5,Fully Billed,,August,,Closed,,,
Goku,WOCOMPANY_003,SDPLDEAL-099,One time Project,,Ongoing,,23-07-2025,Purchase Order,28-07-2025,30-09-2025,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey",NONE,01-09-2025,SDPL/FY25-26/424,14391444,16981903.92,246640,291035.2,291035.2,14144804,16690868.72,0,,,778,,778,,,,,,,,Partially Billed
Erwin,WOCOMPANY_021,SDPLDEAL-100,Annual Rate Contract,,Completed,,28-05-2025,Purchase Order,01-07-2025,15-07-2025,OWNER_001,Mining,Volumetric survey,SPECTRA,20-08-2025,SDPL/FY25-26/406,791874.716,934412.1649,594265.4161,701233.191,,197609.2999,233178.9738,701233.191,,,2379.7 HA,,2379.7,Fully Billed,,Dec,,Open,,,
Nami,WOCOMPANY_002,SDPLDEAL-102,One time Project,,Completed,,02-08-2025,Purchase Order,04-08-2025,09-08-2025,OWNER_003,Mining,Raw images/videography,NONE,,,64373.04,75960.1872,,0,,64373.04,75960.1872,0,,,1,,1,,,,,,,,Update Required
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-103,One time Project,,Completed,,01-08-2025,Purchase Order,01-07-2025,31-07-2025,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,487114,574794.52,,0,,487114,574794.52,0,,,1,,1,,,,,,,,Update Required
Subaru,WOCOMPANY_019,SDPLDEAL-105,One time Project,,Completed,,06-08-2025,Purchase Order,01-05-2025,29-05-2025,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,06-08-2025,06-08-2025,20563.61,24265.0598,20251.6104,23896.90027,23896.9496,311.9996,368.159528,-0.049328,,,115HA,,115,Fully Billed,,August,,Closed,,,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-106,One time Project,,Completed,,08-08-2025,Purchase Order,08-08-2025,20-08-2025,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,12-09-2025,SDPL/FY25-26/442,339130,400173.4,339130,400173.4,400173.4,0,0,0,,,1,,1,Fully Billed,,,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-108,One time Project,,Completed,,18-08-2025,Purchase Order,14-08-2025,30-08-2025,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,24-09-2025,SDPL/FY25-26/476,477247.7957,563152.399,477247.7957,563152.399,563151.8788,0,0,0.52016376,,,537 Acres,,537,Fully Billed,,November,,Closed,,,
Rafiki,WOCOMPANY_048,SDPLDEAL-109,Annual Rate Contract,,Ongoing,,11-08-2025,Purchase Order,01-09-2025,31-08-2027,OWNER_003,Renewables,"Topography Survey: RGB, Thermography",NONE,,,616600,727588,,0,,616600,727588,0,,,1,,1,,,,,,,,Update Required
Alias_162,WOCOMPANY_052,SDPLDEAL-111,,,,,22-11-2024,,,,,Mining,Others,DMO,,,863240,1018623.2,739920,873105.6,864473.2,123320,145517.6,8632.4,,,,,,,,,,,,,
Ben Tennyson,WOCOMPANY_034,SDPLDEAL-112,,,Completed,,16-05-2024,,,,,Renewables,"Topography Survey: RGB, Hydrology",,,,215810,254655.8,215810,254655.8,254655.8,0,0,0,,,,,,,,,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-113,,,,,20-12-2024,,,,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",,,,607351,716674.18,607351,716674.18,716674.18,0,0,0,,,,,,,,,,,,,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-115,,,Completed,,24-03-2025,,,,,Renewables,Hydrology,,,,616600,727588,616600,727588,727588,0,0,0,,,,,,Fully Billed,,,,,,,
Ace,WOCOMPANY_013,SDPLDEAL-116,,,Completed,,05-03-2025,,,,,Others,Topography Survey: RGB,,,,176347.6,208090.168,176347.6,208090.168,,0,0,208090.168,,,,,,Fully Billed,,,,,,,
Shanks,WOCOMPANY_012,SDPLDEAL-117,,,Completed,,31-03-2025,,,,,Renewables,Thermography,,,,221636.87,261531.5066,221636.87,261531.5066,,0,0,261531.5066,,,,,,Fully Billed,,,,,,,
Bulbasaur,WOCOMPANY_050,SDPLDEAL-118,,,Completed,,25-03-2025,,,,,Renewables,Topography Survey: RGB,,,,308300,363794,308300,363794,,0,0,363794,,,,,,Fully Billed,,,,,,,
Sesshomaru,WOCOMPANY_017,SDPLDEAL-119,,,Completed,,03-12-2024,,,,,Renewables,"Hydrology, Topography Survey: RGB",,16-04-2025,SDPL/FY25-26/002,446418.4,526773.712,446418.4,526773.712,526773.712,0,0,0,,,,,,Fully Billed,,,,Closed,,,
Mr. Krabs,WOCOMPANY_031,SDPLDEAL-120,,,Completed,,21-01-2025,,,,,Mining,Volumetric survey,,20-06-2025,SDPL/FY25-26/083,554940,654829.2,554940,654829.2,588236.4,0,0,66592.8,,,,,,Fully Billed,,,,Closed,,,
Pumbaa,WOCOMPANY_047,SDPLDEAL-121,Annual Rate Contract,,Ongoing,,02-09-2025,LOA/LOI,02-09-2025,02-09-2026,OWNER_004,Renewables,Thermography,SPECTRA,,,5224698.44,6165144.159,2330748,2750282.64,,2893950.44,3414861.519,2750282.64,,,Rate based on MW slabs,,,Partially Billed,,,,Open,,,Partially Billed
Stitch,WOCOMPANY_044,SDPLDEAL-122,,,Completed,,01-04-2025,,,,,Renewables,Flood Risk,,29-04-2025,SDPL/FY25-26/009,431620,509311.6,431620,509311.6,509311.6,0,0,0,,,,,,Fully Billed,,,,Closed,,,
Sasuke,WOCOMPANY_002,SDPLDEAL-123,,,Completed,,25-12-2024,,,,,Mining,LiDAR Survey: LiDAR,,,,371193.2,438007.976,371193.2,438007.976,,0,0,438007.976,,,,,,Fully Billed,,,,Closed,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-124,,,,,24-07-2025,,,,,Renewables,Others,,31-07-2025,SDPL/FY25-26/378,24664,29103.52,24664,29103.52,,0,0,29103.52,,,,,,Fully Billed,,,,Closed,,,
Timon,WOCOMPANY_046,SDPLDEAL-125,Proof of Concept,,Completed,,08-09-2025,Purchase Order,11-09-2025,26-10-2025,OWNER_001,Renewables,Others,SPECTRA,,,277470,327414.6,277470,327414.6,,0,0,327414.6,,,45days,,45,Fully Billed,,Dec,,,,,
Gohan,WOCOMPANY_026,SDPLDEAL-126,One time Project,,Completed,,10-09-2025,Purchase Order,01-08-2025,05-09-2025,OWNER_001,Construction,Topography Survey: RGB,NONE,15-09-2025,SDPL/FY25-26/448,788298.436,930192.1545,788298.436,930192.1545,914425.1992,0,0,15766.95528,,,1,,1,Fully Billed,,October,,Closed,,,
Kaguya,WOCOMPANY_014,SDPLDEAL-127,One time Project,,Completed,,12-09-2025,Purchase Order,15-09-2025,31-10-2025,OWNER_003,Railways,Others,NONE,,,5061052.8,5972042.304,,0,,5061052.8,5972042.304,0,,,304 RKM,,304,,,,,,,,
Bugs Bunny,WOCOMPANY_028,SDPLDEAL-128,One time Project,,Ongoing,,12-09-2025,Purchase Order,15-09-2025,31-10-2025,OWNER_003,Railways,Others,NONE,,,8789158.711,10371207.28,,0,,8789158.711,10371207.28,0,,,580 RKM,,580,,,,,,,,
Armin,WOCOMPANY_020,SDPLDEAL-129,Annual Rate Contract,,Completed,20-09-2025,10-09-2025,Purchase Order,24-07-2025,31-12-2025,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,218478.6448,257804.8009,145653.4986,171871.1284,,72825.14616,85933.67247,171871.1284,,,3 Quarter (Till Dec),,3,Fully Billed,,October,,Closed,,,
Armin,WOCOMPANY_020,SDPLDEAL-130,Annual Rate Contract,,Completed,20-09-2025,11-09-2025,Purchase Order,24-07-2025,31-12-2025,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,484453.9876,571655.7054,322971.0351,381105.8214,,161482.9525,190549.8839,381105.8214,,,3 Quarter (till December 2025),,3,Fully Billed,,Dec,,Closed,,,
Sakura,WOCOMPANY_002,SDPLDEAL-131,One time Project,,Pause / struck,,17-09-2025,Purchase Order,15-09-2025,15-10-2025,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,1224740.248,1445193.493,,0,,1224740.248,1445193.493,0,,,1,,1,,,,,,,,Stuck
Sakura,WOCOMPANY_002,SDPLDEAL-132,One time Project,,Pause / struck,,17-09-2025,Purchase Order,15-09-2025,15-10-2025,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,1219634.8,1439169.064,,0,,1219634.8,1439169.064,0,,,1,,1,,,,,,,,Stuck
Gojo,WOCOMPANY_005,SDPLDEAL-134,One time Project,,Completed,,20-09-2025,Purchase Order,27-09-2025,15-10-2025,OWNER_001,Mining,"Topography Survey: RGB, Mine survey",NONE,,SDPL/FY25-26/558,192009.24,226570.9032,58823.64,69411.8952,,133185.6,157159.008,69411.8952,,,865,,865,Partially Billed,,,,Open,,,
Faye Valentine,WOCOMPANY_010,SDPLDEAL-133,One time Project,,Completed,,19-07-2024,Purchase Order,11-09-2025,19-09-2025,OWNER_003,Renewables,Solar Inspection,NONE,,,57487090.49,67834766.78,57487090.49,67834766.78,57487090.49,0,0,10347676.29,,,NA,,,Fully Billed,,,,,,,BIlled
Alias_160,WOCOMPANY_051,SDPLDEAL-135,One time Project,,Completed,,25-07-2025,Purchase Order,01-05-2025,27-05-2025,OWNER_001,Mining,"Mine survey, Topography Survey: RGB",SPECTRA,07-10-2025,SDPL/FY25-26/484,89407,105500.26,89407,105500.26,104886.6197,0,0,613.64032,,,500,,500,Fully Billed,,October,,Closed,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-136,One time Project,,Ongoing,,27-09-2025,Purchase Order,29-09-2025,10-10-2025,OWNER_003,Mining,Others,NONE,,,143051.2,168800.416,,0,,143051.2,168800.416,0,,,1,,1,,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-137,One time Project,,Ongoing,,27-09-2025,Purchase Order,29-09-2025,30-10-2025,OWNER_003,Mining,Others,NONE,,,143051.2,168800.416,,0,,143051.2,168800.416,0,,,1,,1,,,,,,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-138,One time Project,,Pause / struck,,19-09-2025,Purchase Order,06-10-2025,30-10-2025,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,261901.7132,309044.0216,,0,,261901.7132,309044.0216,0,,,1464.66 HA,,1464.66,Not billed yet,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-139,One time Project,,Ongoing,,03-10-2025,Purchase Order,20-09-2025,20-10-2025,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,699730.012,825681.4142,,0,,699730.012,825681.4142,0,,,1,,1,,,,,,,,
Trunks,WOCOMPANY_015,SDPLDEAL-140,One time Project,,Ongoing,,08-10-2025,Purchase Order,29-09-2025,31-10-2025,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,3237150,3819837,,0,,3237150,3819837,0,,,350 KM,,350,,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-141,One time Project,,Not Started,,09-10-2025,Purchase Order,30-09-2025,30-10-2025,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,383192.236,452166.8385,,0,,383192.236,452166.8385,0,,,1,,1,,,,,,,,
Inuyasha,WOCOMPANY_016,SDPLDEAL-142,One time Project,,Completed,08-01-2026,14-10-2025,Purchase Order,17-10-2025,10-11-2025,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology, Flood Risk",NONE,,,419288,494759.84,,0,,419288,494759.84,0,,,1,,1,Stuck,,,,,,,
Patrick Star,WOCOMPANY_030,SDPLDEAL-143,One time Project,,Completed,05-11-2025,16-10-2025,Purchase Order,08-10-2025,16-10-2025,OWNER_001,Others,Hydrology,NONE,,,246640,291035.2,246640,291035.2,,0,0,291035.2,,,10 ha,,10,Fully Billed,,Dec,,,,,
Kaguya,WOCOMPANY_014,SDPLDEAL-144,One time Project,,Ongoing,,27-10-2025,Purchase Order,03-11-2025,01-12-2025,OWNER_003,Railways,"Road/rail survey, LiDAR Survey: LiDAR",NONE,,,4628199.6,5461275.528,,0,,4628199.6,5461275.528,0,,,278,,278,,,,,,,,
Sakura,WOCOMPANY_002,SDPLDEAL-145,One time Project,,Not Started,,27-10-2025,Purchase Order,27-10-2025,03-11-2025,OWNER_003,Mining,Raw images/videography,NONE,,,64373.04,75960.1872,,0,,64373.04,75960.1872,0,,,1,,1,,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-146,One time Project,,Ongoing,,27-10-2025,Purchase Order,27-10-2025,03-11-2025,OWNER_003,Mining,"LiDAR Survey: LiDAR, Mine survey",NONE,,,679308.22,801583.6996,,0,,679308.22,801583.6996,0,,,1,,1,,,,,,,,
Katara,WOCOMPANY_037,SDPLDEAL-147,One time Project,,Partial Completed,18-12-2025,28-10-2025,Purchase Order,03-11-2025,11-11-2025,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey, Others",NONE,,,1850391.936,2183462.484,,0,,1850391.936,2183462.484,0,,,NA . Verbal confirmation for 59 km,,,,,,,,,,Stuck
Sakura,WOCOMPANY_002,SDPLDEAL-149,Monthly Contract,,Ongoing,,30-10-2025,Purchase Order,01-11-2025,01-04-2026,OWNER_003,Renewables,Others,SPECTRA,,,6011850,7093983,,0,,6011850,7093983,0,,,"48,75,000.00",,4,,,,,,,,
Dolphin,WOCOMPANY_029,SDPLDEAL-150,One time Project,,Ongoing,,12-08-2025,LOA/LOI,20-08-2025,16-12-2025,OWNER_002,Powerline,LiDAR Survey: LiDAR,NONE,,,5026523.2,5931297.376,,0,,5026523.2,5931297.376,0,,,1250 towers,,1250,,,,,,,,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-151,One time Project,,Completed,17-12-2025,06-11-2025,Purchase Order,10-11-2025,01-12-2025,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,SDPL/FY25-26/442,339130,400173.4,339130,400173.4,400173.4,0,0,0,,,1,,1,,,,,,,,Update Required
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-152,One time Project,,Completed,09-01-2026,04-11-2025,Email Confirmation,07-11-2025,28-11-2025,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology",NONE,,,295968,349242.24,,0,,295968,349242.24,0,,,1,,1,,,,,,,,Update Required
Megumi,WOCOMPANY_007,SDPLDEAL-153,One time Project,,Completed,,01-04-2025,Purchase Order,01-04-2025,10-04-2025,OWNER_003,Renewables,Others,NONE,31-03-2025,SDPL/FY24-25/577,365779.452,431619.7534,365779.452,431619.7534,431620,0,0,-0.24664,,,1,,1,Fully Billed,,,,Closed,,,
Donkey,WOCOMPANY_040,SDPLDEAL-154,One time Project,,Ongoing,,10-11-2025,Purchase Order,13-11-2025,31-12-2025,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey, Raw images/videography",NONE,,,1346654.4,1589052.192,,0,,1346654.4,1589052.192,0,,,104 km,,104,,,,,,,,
Donkey,WOCOMPANY_040,SDPLDEAL-155,One time Project,,Ongoing,,12-11-2025,Purchase Order,13-11-2025,31-01-2026,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey",NONE,,,9089917.2,10726102.3,,0,,9089917.2,10726102.3,0,,,702,,702,,,,,,,,
Golden fish,WOCOMPANY_027,SDPLDEAL-156,Proof of Concept,,Not Started,,16-10-2025,LOA/LOI,01-12-2025,31-12-2025,OWNER_006,Mining,"LiDAR Survey: LiDAR, Volumetric survey",SPECTRA,,,0,0,,0,,0,0,0,,,0,,0,,,,,Open,,,Not Billable
Alphonse,WOCOMPANY_009,SDPLDEAL-157,One time Project,,,,14-11-2025,Purchase Order,14-11-2025,14-11-2025,OWNER_005,Renewables,Others,SPECTRA,19-11-2025,SDPL/FY25-26/549,277470,327414.6,277470,327414.6,321865.2,0,0,5549.4,,,3 subscriptions,,3,Partially Billed,,,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-158,One time Project,,Completed,01-11-2025,23-10-2025,Purchase Order,16-10-2025,31-10-2025,OWNER_001,Renewables,"Hydrology, Topography Survey: RGB",NONE,21-11-2025,SDPL/FY25-26/554,477248.4,563153.112,477248.4,563153.112,515428.272,0,0,47724.84,,,220HA,,220,Fully Billed,,November,,Closed,,,
Timon,WOCOMPANY_046,SDPLDEAL-159,One time Project,,Completed,05-12-2025,08-11-2025,Purchase Order,03-11-2025,20-12-2025,OWNER_001,Renewables,Others,SPECTRA,,,277470,327414.6,277470,327414.6,,0,0,327414.6,,,45days,,45,Fully Billed,,Dec,,,,,
Timon,WOCOMPANY_046,SDPLDEAL-160,One time Project,,Completed,04-12-2025,08-11-2025,Purchase Order,03-11-2025,20-12-2025,OWNER_001,Renewables,"Powerline Inspection, Videography for construction monitoring, Others",SPECTRA,,,277470,327414.6,277470,327414.6,,0,0,327414.6,,,45 days,,45,Not billed yet,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-161,One time Project,,Completed,08-01-2026,21-11-2025,Purchase Order,20-11-2025,30-11-2025,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,304452.416,359253.8509,,0,,304452.416,359253.8509,0,,,1,,1,,,,,,,,Update Required
Whis,WOCOMPANY_025,SDPLDEAL-162,One time Project,,Partial Completed,09-01-2026,01-12-2025,Purchase Order,01-12-2025,31-12-2025,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,924900,1091382,,0,,924900,1091382,0,,,1,,1,,,,,,,,
Rengoku,WOCOMPANY_002,SDPLDEAL-163,One time Project,,Not Started,,01-12-2025,Purchase Order,01-12-2025,31-12-2025,OWNER_003,Mining,"Topography Survey: RGB, LiDAR Survey: LiDAR",NONE,,,141818,167345.24,,0,,141818,167345.24,0,,,1,,1,,,,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-164,One time Project,,Completed,28-11-2025,27-11-2025,Purchase Order,27-11-2025,23-12-2025,OWNER_001,Renewables,Topography Survey: RGB,SPECTRA,19-12-2025,SDPL/FY25-26/894,511777.963,603897.9963,511778.0123,603898.0546,552719.0068,-0.049328,-0.05820704,51179.04775,,,497Acres,,497,Fully Billed,,November,,Closed,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-165,One time Project,,Completed,19-12-2025,28-11-2025,Purchase Order,25-11-2025,25-12-2025,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,,,709081.3676,836716.0138,,0,,709081.3676,836716.0138,0,,,415Acers,,415,Fully Billed,,November,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-166,One time Project,,Completed,07-11-2025,28-11-2025,Purchase Order,13-11-2025,03-12-2025,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,,SDPL/FY25-26/900,487112.7668,574793.0648,487116.0224,574796.9065,,-3.255648,-3.84166464,574796.9065,,,230Acres,,230,Fully Billed,,November,,,,,
Obito,WOCOMPANY_023,SDPLDEAL-167,One time Project,,Completed,06-01-2026,05-12-2025,Purchase Order,11-12-2025,31-12-2025,OWNER_003,Mining,Mine survey,NONE,,,1.2332,1.455176,,0,,1.2332,1.455176,0,,,40 Acres,,40,,,,,,,,Update Required
Stewie Griffin,WOCOMPANY_029,SDPLDEAL-168,One time Project,,Ongoing,,17-12-2025,Purchase Order,22-12-2025,16-01-2026,OWNER_002,Powerline,Thermography,NONE,,,608584.2,718129.356,,0,,608584.2,718129.356,0,,,105 Towers,,105,,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-169,One time Project,,Not Started,,13-12-2025,Purchase Order,13-12-2025,31-01-2026,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,680726.4,803257.152,,0,,680726.4,803257.152,0,,,1,,1,,,,,,,,
Sesshomaru,WOCOMPANY_017,SDPLDEAL-170,One time Project,,Completed,06-01-2026,20-12-2025,Purchase Order,16-12-2025,31-01-2026,OWNER_003,Renewables,Hydrology,NONE,,,308300,363794,,0,,308300,363794,0,,,1,,1,,,,,,,,Update Required
